opportunity_id,opportunity_type,failure_reason,customer_segment,cart_value,base_contribution_margin,shipping_fee_charged,minutes_since_event,revenueos_action,oracle_action,regret
OPP0030856,PAYMENT_FAILURE,CARD_DECLINED,DEAL_SEEKER,55116,17785.68,0.0,2.0,IMMEDIATE_RETRY,PAYMENT_METHOD_SWITCH,4317.14967584
OPP0032227,PAYMENT_FAILURE,BANK_TIMEOUT,HIGH_LTV,41337,13339.26,0.0,11.0,IMMEDIATE_RETRY,DELAYED_RETRY,3724.4281060799995
OPP0035925,PAYMENT_FAILURE,CARD_DECLINED,PRICE_SENSITIVE,49077,17748.86,0.0,5.0,DELAYED_RETRY,PAYMENT_METHOD_SWITCH,2706.48209984
OPP0035402,PAYMENT_FAILURE,CARD_DECLINED,PAYMENT_FRICTION,43618,11475.82,0.0,8.0,DELAYED_RETRY,PAYMENT_METHOD_SWITCH,2651.6013655399997
OPP0033159,PAYMENT_FAILURE,UPI_TIMEOUT,HIGH_LTV,41337,13243.73,0.0,15.0,IMMEDIATE_RETRY,DELAYED_RETRY,2639.4356578099996
OPP0031392,PAYMENT_FAILURE,AUTHENTICATION_FAILURE,AT_RISK,30316,11649.32,0.0,7.0,IMMEDIATE_RETRY,PAYMENT_METHOD_SWITCH,2545.6578451999994
OPP0033425,PAYMENT_FAILURE,CARD_DECLINED,PAYMENT_FRICTION,23676,7659.68,0.0,7.0,DO_NOTHING,PAYMENT_METHOD_SWITCH,2526.5446244800005
OPP0030971,PAYMENT_FAILURE,BANK_TIMEOUT,AT_RISK,30996,12235.68,0.0,6.0,IMMEDIATE_RETRY,DELAYED_RETRY,2488.6883692799993
OPP0032406,PAYMENT_FAILURE,BANK_TIMEOUT,NEW_CUSTOMER,41337,13339.26,0.0,12.0,IMMEDIATE_RETRY,DELAYED_RETRY,2384.832920580001
OPP0035549,PAYMENT_FAILURE,UPI_TIMEOUT,DEAL_SEEKER,41337,13339.26,0.0,16.0,IMMEDIATE_RETRY,DELAYED_RETRY,2318.45676282
OPP0031088,PAYMENT_FAILURE,BANK_TIMEOUT,CONVENIENCE_SENSITIVE,15717,6367.88,0.0,11.0,IMMEDIATE_RETRY,DELAYED_RETRY,2237.9213793199997
OPP0031511,PAYMENT_FAILURE,BANK_TIMEOUT,LOYAL,29127,9907.54,0.0,8.0,IMMEDIATE_RETRY,DELAYED_RETRY,2205.6660925000006
OPP0032608,PAYMENT_FAILURE,BANK_TIMEOUT,HIGH_LTV,30316,11649.32,0.0,18.0,IMMEDIATE_RETRY,DELAYED_RETRY,2185.8201581999992
OPP0035151,PAYMENT_FAILURE,BANK_TIMEOUT,HIGH_LTV,27558,8819.87,0.0,13.0,IMMEDIATE_RETRY,DELAYED_RETRY,2023.7279913700004
OPP0033199,PAYMENT_FAILURE,AUTHENTICATION_FAILURE,NEW_CUSTOMER,53556,12790.24,0.0,10.0,IMMEDIATE_RETRY,PAYMENT_METHOD_SWITCH,1962.7494984000004
OPP0034403,PAYMENT_FAILURE,NETWORK_ERROR,PRICE_SENSITIVE,55116,17732.61,0.0,14.0,IMMEDIATE_RETRY,DELAYED_RETRY,1915.4942648100005
OPP0035434,PAYMENT_FAILURE,CARD_DECLINED,CONVENIENCE_SENSITIVE,27558,8892.84,0.0,8.0,DO_NOTHING,PAYMENT_METHOD_SWITCH,1911.64134676
OPP0034967,PAYMENT_FAILURE,CARD_DECLINED,PAYMENT_FRICTION,26778,6125.76,0.0,3.0,DO_NOTHING,PAYMENT_METHOD_SWITCH,1784.1123462400005
OPP0033768,PAYMENT_FAILURE,BANK_TIMEOUT,HIGH_LTV,23756,7636.38,0.0,4.0,IMMEDIATE_RETRY,DELAYED_RETRY,1777.3292631
OPP0035197,PAYMENT_FAILURE,BANK_TIMEOUT,PRICE_SENSITIVE,45596,13055.88,0.0,12.0,IMMEDIATE_RETRY,DELAYED_RETRY,1727.2798681199997
