policy,clip_level,ips,snips,dr,ess,match_rate,max_weight,n_matched
DO_NOTHING,none,746.6108024029238,741.036225983362,733.5914998796974,1385.5565270752502,0.33547794117647056,11.799966960092512,1825
DO_NOTHING,clip20,746.6108024029238,741.036225983362,733.5914998796974,1385.5565270752502,0.33547794117647056,11.799966960092512,1825
DO_NOTHING,clip10,737.8706095276917,738.9132029134755,734.9662508826468,1431.0214757222684,0.33547794117647056,10.0,1825
FLAT_10_PERCENT,none,487.94933224027756,519.7573240764063,508.7047859430392,413.89015326935873,0.09540441176470588,33.74046831770025,519
FLAT_10_PERCENT,clip20,482.7306630804753,533.431390790355,510.74367628601624,451.15883849585265,0.09540441176470588,20.0,519
FLAT_10_PERCENT,clip10,440.0491033805577,573.820231253092,525.2674910013238,501.38013798809925,0.09540441176470588,10.0,519
RULES,none,774.2195222240503,784.1960052334895,798.0027289691562,852.2418436568025,0.24099264705882353,31.659596023554737,1311
RULES,clip20,760.5220870539614,782.0387582056677,790.8047668243498,938.6667422644801,0.24099264705882353,20.0,1311
RULES,clip10,736.3055172254279,778.356545287521,778.8213056432575,1020.8483302871617,0.24099264705882353,10.0,1311
MODEL_CONVERSION_MAX,none,812.9079198959148,814.9101865204419,798.5286603864389,845.4663622727822,0.21433823529411763,27.137042062415198,1166
MODEL_CONVERSION_MAX,clip20,806.9830194588886,814.8527975365625,798.8557697649954,878.3950431280067,0.21433823529411763,20.0,1166
MODEL_CONVERSION_MAX,clip10,758.8061360013929,796.056187587004,797.7947016810044,982.1820971855204,0.21433823529411763,10.0,1166
REVENUEOS,none,811.5140140324471,809.0327735030454,807.1867527223441,808.1618788024965,0.2275735294117647,27.137042062415198,1238
REVENUEOS,clip20,803.4953441765351,811.6946883604538,806.9020838114227,863.1461769203814,0.2275735294117647,20.0,1238
REVENUEOS,clip10,755.7193122214225,802.6337765927221,811.5659080931285,1009.8221106310142,0.2275735294117647,10.0,1238
